GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new,place_share
361190015051003,36,119,001505,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,0.9999999999999986
361190004012007,36,119,000401,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,0.9999999999999999
361190013012008,36,119,001301,2008,19,9,0,2,0,0,1,7,19,7,12,4,0,2,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190021062004,36,119,002106,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190022031003,36,119,002203,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190008033004,36,119,000803,3004,321,77,72,2,4,0,101,65,321,198,123,42,63,0,4,0,0,14,102,102,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190008031004,36,119,000803,1004,175,67,8,0,12,0,63,25,175,90,85,60,7,0,12,0,0,6,54,54,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190008012008,36,119,000801,2008,98,60,3,2,4,0,11,18,98,28,70,54,2,0,4,0,2,8,28,26,2,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190006012001,36,119,000601,2001,257,40,72,7,2,0,101,35,257,155,102,33,55,2,2,0,0,10,87,65,22,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190008021006,36,119,000802,1006,143,34,31,0,5,0,45,28,143,75,68,27,30,0,5,0,5,1,52,52,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190001033006,36,119,000103,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,0.9999999999999998
361190009002009,36,119,000900,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092,1.0
361190022012023,36,119,002201,2023,108,84,4,0,0,1,8,11,108,16,92,84,4,0,0,1,0,3,44,43,1,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000004
361190022023006,36,119,002202,3006,46,41,1,0,0,0,1,3,46,4,42,41,0,0,0,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022023014,36,119,002202,3014,85,69,2,0,6,0,0,8,85,13,72,64,2,0,6,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022023005,36,119,002202,3005,322,237,6,0,14,0,43,22,322,65,257,234,6,0,14,0,0,3,165,153,12,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190022011005,36,119,002201,1005,29,23,6,0,0,0,0,0,29,2,27,21,6,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022011024,36,119,002201,1024,17,10,0,0,0,0,1,6,17,6,11,10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022011003,36,119,002201,1003,114,73,19,0,17,0,5,0,114,6,108,71,19,0,17,0,1,0,45,44,1,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190022011026,36,119,002201,1026,47,41,0,0,0,0,4,2,47,6,41,41,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022011002,36,119,002201,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999997
361190022012021,36,119,002201,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190022023002,36,119,002202,3002,41,28,0,0,0,0,1,12,41,9,32,28,0,0,0,0,0,4,17,17,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190014014000,36,119,001401,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190022024007,36,119,002202,4007,75,68,0,0,7,0,0,0,75,2,73,66,0,0,7,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022021002,36,119,002202,1002,62,49,1,0,8,0,0,4,62,3,59,49,1,0,8,0,0,1,29,28,1,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190022024018,36,119,002202,4018,52,38,1,0,6,0,4,3,52,5,47,38,1,0,6,0,0,2,20,20,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999997
361190022043003,36,119,002204,3003,49,37,6,0,4,1,0,1,49,0,49,37,6,0,4,1,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
