GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new
361190109023012,36,119,010902,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190109024002,36,119,010902,4002,68,22,17,1,5,0,5,18,68,33,35,8,17,0,5,0,0,5,12,12,0,0,0,0,0,0,0,0,0,0,0,092,092
361190109023000,36,119,010902,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190105004006,36,119,010500,4006,43,39,0,0,0,0,4,0,43,4,39,39,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,092,092
361190106002013,36,119,010600,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190033002004,36,119,003300,2004,166,0,147,1,5,0,9,4,166,14,152,0,145,1,5,0,0,1,69,66,3,0,0,0,0,0,0,0,0,0,0,089,089
361190042001012,36,119,004200,1012,12,0,12,0,0,0,0,0,12,0,12,0,12,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,089,089
361190119023014,36,119,011902,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190024051004,36,119,002405,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090
361190002053002,36,119,000205,3002,299,26,78,2,11,0,120,62,299,194,105,16,64,0,10,0,7,8,123,117,6,0,0,0,0,0,0,0,0,0,0,089,089
361190002031002,36,119,000203,1002,70,49,2,0,2,0,8,9,70,15,55,49,0,0,0,0,1,5,19,8,11,0,0,0,0,0,0,0,0,0,0,089,089
361190013041000,36,119,001304,1000,1169,114,276,36,65,0,523,155,1169,770,399,80,236,0,58,0,18,7,387,356,31,0,0,0,0,0,0,0,0,0,0,089,089
361190012003001,36,119,001200,3001,186,15,75,6,2,0,74,14,186,93,93,14,73,2,2,0,0,2,55,55,0,0,0,0,0,0,0,0,0,0,0,090,090
361190112001001,36,119,011200,1001,103,27,5,0,5,0,64,2,103,66,37,26,5,0,5,0,0,1,38,38,0,0,0,0,0,0,0,0,0,0,0,092,092
361190111013014,36,119,011101,3014,43,14,11,0,9,0,1,8,43,10,33,8,11,0,9,0,0,5,18,18,0,0,0,0,0,0,0,0,0,0,0,092,092
361190111013004,36,119,011101,3004,46,25,6,0,8,0,6,1,46,9,37,25,4,0,8,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,092,092
361190112004035,36,119,011200,4035,38,12,11,1,2,0,3,9,38,19,19,6,11,0,2,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,092,092
361190114011009,36,119,011401,1009,99,89,2,0,0,0,0,8,99,7,92,88,2,0,0,0,0,2,35,35,0,0,0,0,0,0,0,0,0,0,0,092,092
361190118003066,36,119,011800,3066,27,19,0,0,6,0,0,2,27,2,25,19,0,0,6,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,092,092
361190114013001,36,119,011401,3001,40,33,0,0,0,0,3,4,40,7,33,31,0,0,0,0,0,2,17,9,8,0,0,0,0,0,0,0,0,0,0,092,092
361190022011025,36,119,002201,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090
361190105002007,36,119,010500,2007,36,28,0,0,4,0,0,4,36,1,35,27,0,0,4,0,0,4,12,12,0,0,0,0,0,0,0,0,0,0,0,092,092
361190122013007,36,119,012201,3007,112,98,2,0,10,0,0,2,112,5,107,93,2,0,10,0,0,2,40,40,0,0,0,0,0,0,0,0,0,0,0,092,092
361190119021024,36,119,011902,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190114011012,36,119,011401,1012,27,22,1,0,0,0,1,3,27,2,25,22,1,0,0,0,0,2,12,12,0,0,0,0,0,0,0,0,0,0,0,092,092
361190108011022,36,119,010801,1022,29,26,3,0,0,0,0,0,29,0,29,26,3,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,092,092
361190105005019,36,119,010500,5019,39,32,1,0,1,0,0,5,39,1,38,32,1,0,0,0,0,5,25,22,3,0,0,0,0,0,0,0,0,0,0,092,092
361190026002003,36,119,002600,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089
361190015032002,36,119,001503,2002,144,114,6,0,16,0,5,3,144,19,125,103,6,0,16,0,0,0,70,69,1,0,0,0,0,0,0,0,0,0,0,089,089
361190015032001,36,119,001503,2001,106,67,15,0,0,0,15,9,106,27,79,64,14,0,0,0,0,1,36,34,2,0,0,0,0,0,0,0,0,0,0,089,089
361190015032006,36,119,001503,2006,132,88,24,0,7,0,10,3,132,24,108,88,12,0,7,0,1,0,80,80,0,0,0,0,0,0,0,0,0,0,0,089,089
361190015031004,36,119,001503,1004,127,93,14,0,4,0,11,5,127,24,103,91,8,0,4,0,0,0,54,47,7,0,0,0,0,0,0,0,0,0,0,089,089
361190105002014,36,119,010500,2014,234,149,0,0,67,0,2,16,234,16,218,149,0,0,67,0,2,0,83,83,0,0,0,0,0,0,0,0,0,0,0,092,092
361190102004001,36,119,010200,4001,127,103,0,0,12,0,0,12,127,4,123,103,0,0,12,0,0,8,50,50,0,0,0,0,0,0,0,0,0,0,0,092,092
361190107011022,36,119,010701,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190009003014,36,119,000900,3014,35,22,4,0,0,0,5,4,35,14,21,16,4,0,0,0,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,092,090
361190019001005,36,119,001900,1005,164,80,13,0,29,0,26,16,164,41,123,76,8,0,29,0,3,7,58,58,0,0,0,0,0,0,0,0,0,0,0,090,090
361190107011015,36,119,010701,1015,43,22,8,0,5,0,0,8,43,10,33,22,4,0,5,0,0,2,11,10,1,0,0,0,0,0,0,0,0,0,0,092,092
361190106002006,36,119,010600,2006,119,79,2,0,21,0,0,17,119,15,104,78,2,0,21,0,0,3,41,41,0,0,0,0,0,0,0,0,0,0,0,092,092
361190107011003,36,119,010701,1003,199,128,1,0,44,0,14,12,199,18,181,125,1,0,44,0,0,11,51,51,0,0,0,0,0,0,0,0,0,0,0,092,092
361190021042009,36,119,002104,2009,54,35,4,0,5,0,2,8,54,10,44,35,4,0,5,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,090,090
361190021042010,36,119,002104,2010,111,69,9,0,21,0,3,9,111,14,97,67,9,0,21,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,090,090
361190118002012,36,119,011800,2012,116,87,0,0,13,0,0,16,116,10,106,85,0,0,13,0,0,8,32,32,0,0,0,0,0,0,0,0,0,0,0,092,092
361190118002010,36,119,011800,2010,171,131,0,0,27,0,2,11,171,12,159,128,0,0,27,0,0,4,51,51,0,0,0,0,0,0,0,0,0,0,0,092,092
361190122024012,36,119,012202,4012,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,092,092
361190122023026,36,119,012202,3026,43,31,0,0,0,0,6,6,43,11,32,31,0,0,0,0,0,1,12,11,1,0,0,0,0,0,0,0,0,0,0,092,092
361190122012002,36,119,012201,2002,261,241,1,0,4,0,4,11,261,12,249,241,0,0,4,0,1,3,90,90,0,0,0,0,0,0,0,0,0,0,0,092,092
361190118004008,36,119,011800,4008,310,285,2,0,11,0,0,12,310,9,301,285,2,0,11,0,0,3,106,106,0,0,0,0,0,0,0,0,0,0,0,092,092
361190122021011,36,119,012202,1011,105,95,3,0,2,0,0,5,105,9,96,91,3,0,2,0,0,0,36,33,3,0,0,0,0,0,0,0,0,0,0,092,092
361190122022003,36,119,012202,2003,154,112,5,0,13,0,17,7,154,20,134,112,5,0,13,0,0,4,73,73,0,0,0,0,0,0,0,0,0,0,0,092,092
361199810001011,36,119,981000,1011,11,2,0,1,2,0,4,2,11,5,6,2,0,0,2,0,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,092,092
361190121021031,36,119,012102,1031,15,7,0,0,0,0,1,7,15,5,10,7,0,0,0,0,1,2,5,2,3,0,0,0,0,0,0,0,0,0,0,092,092
361190023001013,36,119,002300,1013,278,156,19,0,20,0,58,25,278,90,188,151,17,0,17,0,2,1,98,98,0,0,0,0,0,0,0,0,0,0,0,090,090
361190023001014,36,119,002300,1014,46,13,7,0,5,0,9,12,46,27,19,9,4,0,5,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,0,090,090
361190008032010,36,119,000803,2010,46,24,3,4,2,0,11,2,46,16,30,22,3,0,2,0,3,0,14,5,9,7,0,0,0,0,0,7,0,0,7,090,090
361190001034000,36,119,000103,4000,452,44,84,15,7,0,242,60,452,351,101,15,76,0,7,0,0,3,144,129,15,0,0,0,0,0,0,0,0,0,0,089,089
361190001034002,36,119,000103,4002,216,21,77,3,1,0,75,39,216,135,81,8,68,0,1,0,0,4,76,65,11,0,0,0,0,0,0,0,0,0,0,089,089
361190024021000,36,119,002402,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090
361190121022001,36,119,012102,2001,133,112,0,0,5,0,2,14,133,16,117,107,0,0,5,0,0,5,50,50,0,0,0,0,0,0,0,0,0,0,0,092,092
361199810001018,36,119,981000,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190112003013,36,119,011200,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
361190118003017,36,119,011800,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,092,092
